"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.99429867216678e-15,4.24857409613868,0.026,0.001,6.68847888671296e-11,"Alpha cell","KIF18B"
2.01260980581511e-15,3.46443913930826,0.025,0.001,6.74989076674273e-11,"Alpha cell","SHCBP1"
2.01667587179791e-15,3.98852281668717,0.025,0.001,6.76352753883583e-11,"Alpha cell","SPINK8"
2.05770491210222e-15,1.30210292810426,0.096,0.031,6.90113073420844e-11,"Alpha cell","ASCL2"
2.07316821869479e-15,3.39653064997661,0.026,0.001,6.95299157185859e-11,"Alpha cell","LINC00687"
2.16639230153969e-15,2.14481028096128,0.054,0.011,7.2656465009038e-11,"Alpha cell","CYP51A1-AS1"
2.2078986809166e-15,2.1108200714729,0.074,0.02,7.4048505960581e-11,"Alpha cell","MAP3K19"
2.21078787772187e-15,2.35496508406193,0.05,0.009,7.4145403843036e-11,"Alpha cell","C19orf38"
2.21180361885125e-15,1.05617061732422,0.251,0.136,7.41794697690331e-11,"Alpha cell","WDR25"
2.21267812207484e-15,1.01808362306095,0.478,0.324,7.42087988581459e-11,"Alpha cell","AGBL4"
2.27161009423678e-15,1.52013776859595,0.091,0.029,7.6185259340513e-11,"Alpha cell","GPD1"
2.31342108953201e-15,1.87846165941788,0.079,0.022,7.75875165007246e-11,"Alpha cell","AL110118.2"
2.55269048002688e-15,6.48844890106361,0.019,0,8.56121333191414e-11,"Alpha cell","CD8B2"
2.55269048002688e-15,7.4690285522889,0.019,0,8.56121333191414e-11,"Alpha cell","SUSD5"
2.55269048002688e-15,6.68030086419761,0.019,0,8.56121333191414e-11,"Alpha cell","TREML4"
2.55269048002688e-15,6.80149166785772,0.019,0,8.56121333191414e-11,"Alpha cell","NLRP9"
2.64535818195174e-15,3.33969136313723,0.034,0.004,8.87200227062973e-11,"Alpha cell","AC004231.1"
2.7087168166327e-15,1.87264263819786,0.072,0.019,9.08449445962275e-11,"Alpha cell","CHL1"
2.78684878940836e-15,3.10008747180204,0.034,0.004,9.34653346991775e-11,"Alpha cell","LINC02338"
2.83906845171e-15,2.94058735583917,0.037,0.005,9.521667773345e-11,"Alpha cell","AC008695.1"
2.90571026591159e-15,2.06743699208076,0.055,0.011,9.74517108981428e-11,"Alpha cell","HCG25"
2.94434589745621e-15,1.98371642589374,0.065,0.016,9.87474727088864e-11,"Alpha cell","AC090579.1"
3.05586360569132e-15,2.44099509051956,0.057,0.013,1.02487553607675e-10,"Alpha cell","AC079950.1"
3.85475077512077e-15,3.03684934175023,0.032,0.003,1.29280631496001e-10,"Alpha cell","SERTAD4"
3.9388995148735e-15,1.80888905845383,0.082,0.025,1.32102811929827e-10,"Alpha cell","CHEK2"
3.94790203475165e-15,1.37830679344444,0.177,0.083,1.32404738441501e-10,"Alpha cell","ARMC2"
3.98101696622705e-15,3.09166006302432,0.032,0.003,1.33515347013323e-10,"Alpha cell","FCHO1"
4.2274186798654e-15,1.07216488902233,0.188,0.09,1.41779167685326e-10,"Alpha cell","SBF2-AS1"
4.71624086353961e-15,1.73553648156355,0.113,0.043,1.58173286081392e-10,"Alpha cell","C11orf65"
4.72314715905961e-15,2.36450872739066,0.036,0.004,1.58404909420541e-10,"Alpha cell","LINC00536"
4.8549156169404e-15,1.19562587690378,0.084,0.025,1.62824159960947e-10,"Alpha cell","AL355512.1"
4.92524708589802e-15,1.42766485520477,0.108,0.039,1.65182936766848e-10,"Alpha cell","CATSPERE"
5.01840772891737e-15,2.47996498416152,0.055,0.012,1.68307358412431e-10,"Alpha cell","AC092920.1"
5.63841048591531e-15,1.57590604101712,0.087,0.027,1.89101010876628e-10,"Alpha cell","DRC3"
5.76477135285757e-15,5.62184337989945,0.02,0,1.93338901632137e-10,"Alpha cell","LINC02299"
5.7920157478176e-15,5.30819078826389,0.02,0,1.94252624150307e-10,"Alpha cell","AC083902.1"
5.7920157478176e-15,5.11081905630166,0.02,0,1.94252624150307e-10,"Alpha cell","AC005064.1"
5.86068245896806e-15,4.46820488611186,0.02,0,1.96555568308871e-10,"Alpha cell","AC008780.1"
5.97863697829144e-15,2.76295919992956,0.041,0.006,2.00511526977938e-10,"Alpha cell","COLGALT2"
6.20314360860263e-15,1.95061673827662,0.062,0.015,2.08041030345315e-10,"Alpha cell","ZMYND12"
6.77269167292503e-15,2.4212863936162,0.041,0.006,2.2714253332656e-10,"Alpha cell","AC090527.2"
6.88682662824984e-15,4.36142819181399,0.03,0.003,2.30970391458243e-10,"Alpha cell","ADGB"
7.14772278828893e-15,3.78603437955825,0.03,0.003,2.39720326873634e-10,"Alpha cell","LINC01501"
